drug,drugbank-id,disease,MeshId
238,DB00555,0,D102100
432,DB00949,0,D102100
500,DB01068,0,D102100
34,DB00190,1,D102300
36,DB00193,1,D102300
56,DB00230,1,D102300
72,DB00268,1,D102300
161,DB00413,1,D102300
242,DB00564,1,D102300
248,DB00575,1,D102300
461,DB00996,1,D102300
500,DB01068,1,D102300
568,DB01200,1,D102300
588,DB01235,1,D102300
643,DB05271,1,D102300
83,DB00282,2,D102400
22,DB00169,3,D102500
83,DB00282,3,D102500
87,DB00286,3,D102500
154,DB00399,3,D102500
198,DB00481,3,D102500
261,DB00603,3,D102500
273,DB00630,3,D102500
313,DB00710,3,D102500
318,DB00717,3,D102500
353,DB00783,3,D102500
401,DB00884,3,D102500
449,DB00977,3,D102500
464,DB00999,3,D102500
314,DB00712,4,D103100
275,DB00635,5,D103230
303,DB00687,5,D103230
387,DB00860,5,D103230
110,DB00331,6,D103285
275,DB00635,6,D103285
374,DB00834,6,D103285
492,DB01046,6,D103285
49,DB00215,7,D103780
194,DB00475,7,D103780
248,DB00575,7,D103780
291,DB00659,7,D103780
311,DB00704,7,D103780
371,DB00822,7,D103780
408,DB00904,7,D103780
66,DB00252,8,D104130
99,DB00313,8,D104130
122,DB00350,8,D104130
164,DB00421,8,D104130
202,DB00490,8,D104130
222,DB00532,8,D104130
242,DB00564,8,D104130
268,DB00620,8,D104130
359,DB00795,8,D104130
574,DB01216,8,D104130
19,DB00163,9,D104300
99,DB00313,9,D104300
142,DB00382,9,D104300
297,DB00674,9,D104300
377,DB00843,9,D104300
455,DB00989,9,D104300
486,DB01037,9,D104300
490,DB01043,9,D104300
19,DB00163,10,D104310
142,DB00382,10,D104310
297,DB00674,10,D104310
377,DB00843,10,D104310
455,DB00989,10,D104310
486,DB01037,10,D104310
490,DB01043,10,D104310
452,DB00984,11,D106100
624,DB01406,11,D106100
644,DB06196,11,D106100
648,DB06718,11,D106100
655,DB08804,11,D106100
27,DB00179,12,D106400
229,DB00544,12,D106400
252,DB00586,12,D106400
322,DB00724,12,D106400
426,DB00936,12,D106400
458,DB00992,12,D106400
301,DB00682,13,D107320
430,DB00945,13,D107320
331,DB00747,14,D107550
330,DB00745,15,D107650
123,DB00351,16,D109100
191,DB00470,16,D109100
275,DB00635,16,D109100
439,DB00959,16,D109100
504,DB01072,16,D109100
544,DB01157,16,D109100
585,DB01232,16,D109100
574,DB01216,17,D109200
47,DB00213,18,D109350
116,DB00338,18,D109350
131,DB00364,18,D109350
178,DB00448,18,D109350
209,DB00501,18,D109350
251,DB00585,18,D109350
262,DB00604,18,D109350
327,DB00736,18,D109350
389,DB00863,18,D109350
400,DB00883,18,D109350
422,DB00927,18,D109350
478,DB01019,18,D109350
479,DB01020,18,D109350
532,DB01129,18,D109350
586,DB01233,18,D109350
61,DB00242,19,D109543
70,DB00262,19,D109543
90,DB00290,19,D109543
176,DB00444,19,D109543
227,DB00541,19,D109543
241,DB00563,19,D109543
453,DB00987,19,D109543
484,DB01033,19,D109543
505,DB01073,19,D109543
556,DB01181,19,D109543
571,DB01204,19,D109543
95,DB00305,20,D109800
144,DB00385,20,D109800
213,DB00515,20,D109800
241,DB00563,20,D109800
438,DB00958,20,D109800
462,DB00997,20,D109800
71,DB00264,21,D110100
114,DB00335,21,D110100
245,DB00571,21,D110100
260,DB00598,21,D110100
266,DB00612,21,D110100
570,DB01203,21,D110100
640,DB04861,21,D110100
170,DB00434,22,D113610
224,DB00536,22,D113610
337,DB00755,23,D113800
0,DB00014,24,D114480
83,DB00282,24,D114480
87,DB00286,24,D114480
123,DB00351,24,D114480
174,DB00441,24,D114480
177,DB00445,24,D114480
198,DB00481,24,D114480
229,DB00544,24,D114480
241,DB00563,24,D114480
244,DB00570,24,D114480
271,DB00624,24,D114480
298,DB00675,24,D114480
353,DB00783,24,D114480
431,DB00947,24,D114480
456,DB00990,24,D114480
462,DB00997,24,D114480
469,DB01006,24,D114480
518,DB01101,24,D114480
558,DB01185,24,D114480
575,DB01217,24,D114480
583,DB01229,24,D114480
596,DB01248,24,D114480
601,DB01259,24,D114480
229,DB00544,25,D114500
241,DB00563,25,D114500
284,DB00650,25,D114500
341,DB00762,25,D114500
518,DB01101,25,D114500
