drug,drugbank-id,disease,MeshId
274,DB00657,5,D103780
79,DB00284,37,D125853
79,DB00284,34,D125850
79,DB00284,35,D125851
79,DB00284,265,D600496
513,DB01192,312,D608622
513,DB01192,108,D161900
95,DB00315,79,D145590
95,DB00315,86,D147530
95,DB00315,102,D157300
95,DB00315,307,D608088
95,DB00315,66,D140600
343,DB00816,85,D147480
343,DB00816,177,D217200
343,DB00816,264,D600351
343,DB00816,174,D215140
343,DB00816,197,D239350
343,DB00816,201,D243200
152,DB00413,37,D125853
152,DB00413,34,D125850
152,DB00413,35,D125851
152,DB00413,265,D600496
453,DB01062,135,D181500
330,DB00783,236,D268320
44,DB00210,284,D604416
262,DB00637,154,D194200
13,DB00131,154,D194200
57,DB00240,192,D233810
257,DB00627,3,D102500
257,DB00627,116,D167320
257,DB00627,90,D150600
257,DB00627,114,D166710
257,DB00627,280,D602080
113,DB00343,155,D200170
113,DB00343,86,D147530
113,DB00343,261,D600082
588,DB06287,312,D608622
588,DB06287,78,D145500
588,DB06287,108,D161900
202,DB00521,88,D148000
161,DB00436,279,D602068
161,DB00436,257,D310468
385,DB00917,102,D157300
410,DB00968,225,D260570
147,DB00401,210,D252320
147,DB00401,117,D167870
383,DB00912,38,D126200
383,DB00912,118,D168100
383,DB00912,27,D119500
480,DB01120,211,D254200
490,DB01142,241,D276300
242,DB00593,161,D208300
242,DB00593,174,D215140
242,DB00593,312,D608622
242,DB00593,108,D161900
120,DB00356,236,D268320
529,DB01222,162,D208550
529,DB01222,269,D600807
529,DB01222,166,D210050
478,DB01115,23,D115000
98,DB00320,73,D144110
98,DB00320,86,D147530
98,DB00320,210,D252320
133,DB00380,30,D125310
133,DB00380,310,D608320
133,DB00380,312,D608622
133,DB00380,78,D145500
133,DB00380,130,D179600
133,DB00380,108,D161900
559,DB01327,177,D217200
559,DB01327,197,D239350
30,DB00182,69,D143465
571,DB01410,169,D212110
525,DB01216,19,D114480
525,DB01216,123,D174800
482,DB01124,299,D607554
297,DB00712,118,D168100
297,DB00712,119,D168600
148,DB00404,142,D188050
74,DB00278,142,D188050
539,DB01235,109,D164230
539,DB01235,135,D181500
499,DB01167,241,D276300
397,DB00939,9,D107320
397,DB00939,160,D208230
397,DB00939,30,D125310
397,DB00939,79,D145590
397,DB00939,86,D147530
397,DB00939,90,D150600
397,DB00939,102,D157300
397,DB00939,112,D165720
397,DB00939,66,D140600
397,DB00939,305,D607850
397,DB00939,293,D607459
397,DB00939,273,D601367
397,DB00939,94,D152700
261,DB00636,87,D147540
459,DB01070,12,D109100
108,DB00334,17,D110100
108,DB00334,103,D157700
83,DB00289,69,D143465
462,DB01075,72,D144010
230,DB00571,185,D226150
230,DB00571,147,D190310
422,DB00993,55,D134750
390,DB00927,205,D247200
390,DB00927,220,D258360
390,DB00927,271,D601004
421,DB00992,165,D208920
421,DB00992,192,D233810
421,DB00992,232,D266600
421,DB00992,38,D126200
421,DB00992,211,D254200
421,DB00992,106,D160300
421,DB00992,133,D181000
421,DB00992,94,D152700
421,DB00992,141,D188030
217,DB00547,284,D604416
29,DB00181,272,D601042
29,DB00181,41,D128101
29,DB00181,68,D143100
29,DB00181,86,D147530
29,DB00181,38,D126200
29,DB00181,292,D607225
29,DB00181,144,D189600
29,DB00181,148,D190400
434,DB01009,232,D266600
141,DB00393,162,D208550
141,DB00393,269,D600807
213,DB00541,312,D608622
213,DB00541,82,D146255
213,DB00541,108,D161900
160,DB00434,264,D600351
160,DB00434,174,D215140
160,DB00434,312,D608622
160,DB00434,218,D256370
160,DB00434,108,D161900
466,DB01085,86,D147530
466,DB01085,115,D166760
361,DB00865,307,D608088
360,DB00864,250,D303110
360,DB00864,277,D601665
360,DB00864,230,D264120
324,DB00765,79,D145590
61,DB00245,31,D125320
61,DB00245,118,D168100
61,DB00245,119,D168600
543,DB01242,312,D608622
543,DB01242,108,D161900
164,DB00441,282,D603165
164,DB00441,32,D125600
164,DB00441,49,D133600
164,DB00441,93,D151590
37,DB00195,61,D137750
37,DB00195,312,D608622
37,DB00195,108,D161900
438,DB01018,14,D109350
438,DB01018,104,D157950
438,DB01018,150,D191800
90,DB00307,241,D276300
90,DB00307,212,D254400
483,DB01125,128,D176807
377,DB00904,61,D137750
377,DB00904,278,D601682
377,DB00904,62,D137760
377,DB00904,108,D161900
339,DB00808,31,D125320
339,DB00808,118,D168100
555,DB01291,263,D600263
250,DB00611,17,D110100
250,DB00611,103,D157700
374,DB00899,162,D208550
374,DB00899,269,D600807
84,DB00290,193,D236000
84,DB00290,15,D109543
84,DB00290,206,D247640
84,DB00290,99,D155601
84,DB00290,98,D155600
84,DB00290,233,D267730
84,DB00290,238,D273300
33,DB00188,214,D254500
224,DB00557,129,D178600
224,DB00557,108,D161900
186,DB00482,61,D137750
186,DB00482,278,D601682
186,DB00482,62,D137760
186,DB00482,108,D161900
514,DB01193,61,D137750
514,DB01193,278,D601682
514,DB01193,62,D137760
514,DB01193,108,D161900
407,DB00960,173,D212350
407,DB00960,26,D115645
518,DB01197,118,D168100
118,DB00353,79,D145590
528,DB01221,162,D208550
528,DB01221,269,D600807
528,DB01221,166,D210050
528,DB01221,232,D266600
528,DB01221,149,D191390
370,DB00884,156,D203700
370,DB00884,161,D208300
370,DB00884,166,D210050
370,DB00884,264,D600351
370,DB00884,174,D215140
370,DB00884,312,D608622
370,DB00884,82,D146255
370,DB00884,218,D256370
370,DB00884,113,D166300
370,DB00884,108,D161900
86,DB00297,86,D147530
386,DB00918,86,D147530
493,DB01151,69,D143465
493,DB01151,117,D167870
493,DB01151,230,D264120
188,DB00489,6,D104130
188,DB00489,101,D156190
188,DB00489,110,D165150
188,DB00489,221,D259050
188,DB00489,117,D167870
188,DB00489,247,D300232
432,DB01006,181,D223350
432,DB01006,204,D246470
432,DB01006,241,D276300
432,DB01006,213,D254450
432,DB01006,228,D263300
58,DB00241,79,D145590
58,DB00241,102,D157300
249,DB00608,86,D147530
63,DB00248,267,D600634
39,DB00201,57,D136200
39,DB00201,79,D145590
39,DB00201,86,D147530
39,DB00201,102,D157300
39,DB00201,66,D140600
14,DB00136,82,D146255
14,DB00136,243,D277440
14,DB00136,244,D277460
590,DB11750,312,D608622
590,DB11750,108,D161900
471,DB01099,19,D114480
471,DB01099,20,D114500
471,DB01099,58,D137215
471,DB01099,241,D276300
471,DB01099,128,D176807
471,DB01099,75,D144700
517,DB01196,281,D602522
517,DB01196,264,D600351
517,DB01196,174,D215140
517,DB01196,312,D608622
517,DB01196,82,D146255
517,DB01196,130,D179600
517,DB01196,108,D161900
226,DB00563,6,D104130
226,DB00563,41,D128101
226,DB00563,111,D165199
226,DB00563,1,D102300
226,DB00563,135,D181500
226,DB00563,148,D190400
34,DB00190,31,D125320
34,DB00190,118,D168100
34,DB00190,119,D168600
34,DB00190,1,D102300
404,DB00957,16,D109800
404,DB00957,48,D133239
404,DB00957,241,D276300
404,DB00957,222,D259500
67,DB00262,63,D137800
67,DB00262,193,D236000
67,DB00262,15,D109543
67,DB00262,206,D247640
67,DB00262,241,D276300
67,DB00262,214,D254500
67,DB00262,233,D267730
201,DB00519,61,D137750
201,DB00519,312,D608622
201,DB00519,108,D161900
487,DB01133,299,D607554
487,DB01133,312,D608622
487,DB01133,108,D161900
558,DB01320,268,D600803
208,DB00533,162,D208550
208,DB00533,115,D166760
185,DB00481,124,D175100
185,DB00481,160,D208230
185,DB00481,56,D135550
185,DB00481,86,D147530
185,DB00481,204,D246470
185,DB00481,112,D165720
185,DB00481,66,D140600
185,DB00481,305,D607850
185,DB00481,125,D175505
185,DB00481,293,D607459
180,DB00472,5,D103780
180,DB00472,185,D226150
495,DB01157,86,D147530
248,DB00605,133,D181000
365,DB00876,156,D203700
365,DB00876,166,D210050
365,DB00876,264,D600351
365,DB00876,174,D215140
365,DB00876,312,D608622
365,DB00876,218,D256370
365,DB00876,108,D161900
182,DB00476,79,D145590
182,DB00476,135,D181500
278,DB00669,37,D125853
278,DB00669,34,D125850
278,DB00669,35,D125851
278,DB00669,265,D600496
92,DB00310,312,D608622
92,DB00310,108,D161900
119,DB00354,86,D147530
22,DB00169,3,D102500
22,DB00169,232,D266600
22,DB00169,114,D166710
10,DB00122,160,D208230
10,DB00122,86,D147530
10,DB00122,112,D165720
10,DB00122,66,D140600
10,DB00122,305,D607850
10,DB00122,293,D607459
570,DB01406,162,D208550
510,DB01186,22,D114580
510,DB01186,32,D125600
195,DB00500,14,D109350
195,DB00500,251,D304790
195,DB00500,230,D264120
195,DB00500,147,D190310
210,DB00536,162,D208550
210,DB00536,79,D145590
210,DB00536,232,D266600
210,DB00536,220,D258360
210,DB00536,115,D166760
246,DB00603,251,D304790
199,DB00514,16,D109800
199,DB00514,48,D133239
199,DB00514,193,D236000
199,DB00514,241,D276300
199,DB00514,214,D254500
199,DB00514,219,D256700
199,DB00514,222,D259500
199,DB00514,137,D182280
199,DB00514,238,D273300
48,DB00215,5,D103780
48,DB00215,43,D131300
48,DB00215,183,D225755
48,DB00215,306,D608033
48,DB00215,182,D225740
48,DB00215,109,D164230
48,DB00215,117,D167870
48,DB00215,226,D260970
48,DB00215,138,D182830
582,DB03904,257,D310468
582,DB03904,131,D179800
582,DB03904,132,D179830
582,DB03904,283,D604278
59,DB00242,15,D109543
59,DB00242,92,D151400
59,DB00242,241,D276300
59,DB00242,38,D126200
59,DB00242,220,D258360
325,DB00767,185,D226150
325,DB00767,149,D191390
589,DB09026,32,D125600
589,DB09026,93,D151590
258,DB00630,206,D247640
260,DB00635,74,D144650
367,DB00881,237,D270960
542,DB01241,109,D164230
542,DB01241,117,D167870
456,DB01067,0,D102100
456,DB01067,160,D208230
456,DB01067,215,D254770
456,DB01067,216,D254800
456,DB01067,112,D165720
456,DB01067,66,D140600
456,DB01067,305,D607850
456,DB01067,117,D167870
456,DB01067,1,D102300
456,DB01067,135,D181500
456,DB01067,293,D607459
232,DB00573,299,D607554
232,DB00573,69,D143465
232,DB00573,272,D601042
232,DB00573,60,D137580
232,DB00573,73,D144110
232,DB00573,312,D608622
232,DB00573,86,D147530
232,DB00573,121,D171300
232,DB00573,108,D161900
232,DB00573,1,D102300
318,DB00757,30,D125310
318,DB00757,260,D540000
318,DB00757,273,D601367
66,DB00257,22,D114580
66,DB00257,168,D212050
122,DB00361,135,D181500
379,DB00906,86,D147530
379,DB00906,307,D608088
96,DB00316,79,D145590
96,DB00316,307,D608088
96,DB00316,66,D140600
564,DB01367,208,D249100
81,DB00286,3,D102500
81,DB00286,19,D114480
81,DB00286,175,D215470
81,DB00286,258,D311360
81,DB00286,128,D176807
81,DB00286,274,D601518
81,DB00286,151,D192000
429,DB01002,162,D208550
429,DB01002,269,D600807
429,DB01002,149,D191390
9,DB00115,120,D170900
504,DB01175,79,D145590
387,DB00921,155,D200170
387,DB00921,272,D601042
387,DB00921,86,D147530
387,DB00921,102,D157300
387,DB00921,107,D160750
6,DB00091,211,D254200
6,DB00091,94,D152700
159,DB00433,290,D606798
159,DB00433,18,D113610
159,DB00433,178,D218200
159,DB00433,289,D606703
159,DB00433,87,D147540
159,DB00433,102,D157300
159,DB00433,246,D300125
159,DB00433,135,D181500
159,DB00433,259,D312910
415,DB00983,181,D223350
415,DB00983,193,D236000
415,DB00983,204,D246470
415,DB00983,276,D601626
415,DB00983,15,D109543
415,DB00983,206,D247640
415,DB00983,241,D276300
415,DB00983,233,D267730
353,DB00848,193,D236000
353,DB00848,99,D155601
353,DB00848,98,D155600
353,DB00848,241,D276300
353,DB00848,219,D256700
353,DB00848,235,D268220
569,DB01403,42,D131200
569,DB01403,264,D600351
569,DB01403,174,D215140
569,DB01403,275,D601608
526,DB01217,30,D125310
526,DB01217,272,D601042
526,DB01217,176,D217150
526,DB01217,196,D238800
526,DB01217,80,D145600
526,DB01217,96,D154276
526,DB01217,260,D540000
526,DB01217,38,D126200
526,DB01217,292,D607225
526,DB01217,273,D601367
545,DB01248,181,D223350
545,DB01248,206,D247640
545,DB01248,241,D276300
288,DB00692,181,D223350
288,DB00692,88,D148000
288,DB00692,276,D601626
288,DB00692,206,D247640
288,DB00692,241,D276300
550,DB01261,205,D247200
550,DB01261,271,D601004
511,DB01188,312,D608622
511,DB01188,86,D147530
511,DB01188,108,D161900
492,DB01148,69,D143465
492,DB01148,86,D147530
4,DB00035,33,D125700
4,DB00035,252,D304900
4,DB00035,266,D600631
4,DB00035,270,D600808
4,DB00035,51,D134430
88,DB00304,42,D131200
88,DB00304,139,D184700
88,DB00304,151,D192000
548,DB01259,192,D233810
216,DB00545,192,D233810
537,DB01233,162,D208550
537,DB01233,32,D125600
537,DB01233,181,D223350
537,DB01233,264,D600351
537,DB01233,49,D133600
537,DB01233,192,D233810
537,DB01233,174,D215140
537,DB01233,79,D145590
537,DB01233,95,D153880
537,DB01233,241,D276300
537,DB01233,212,D254400
537,DB01233,115,D166760
537,DB01233,133,D181000
537,DB01233,275,D601608
537,DB01233,94,D152700
537,DB01233,141,D188030
132,DB00379,164,D208750
132,DB00379,171,D212130
132,DB00379,170,D212112
132,DB00379,173,D212350
132,DB00379,182,D225740
132,DB00379,253,D305300
132,DB00379,184,D226000
573,DB01551,69,D143465
573,DB01551,57,D136200
198,DB00508,79,D145590
198,DB00508,307,D608088
346,DB00822,272,D601042
346,DB00822,177,D217200
346,DB00822,100,D156000
204,DB00524,86,D147530
237,DB00585,8,D106400
237,DB00585,160,D208230
237,DB00585,254,D308205
237,DB00585,86,D147530
237,DB00585,90,D150600
237,DB00585,112,D165720
237,DB00585,66,D140600
237,DB00585,305,D607850
237,DB00585,293,D607459
336,DB00800,264,D600351
336,DB00800,251,D304790
394,DB00936,277,D601665
394,DB00936,230,D264120
65,DB00255,241,D276300
357,DB00860,160,D208230
